,Year_of_award,Nominees,Laureate,Birth_year,Death_year,Affiliation,Rationale,Country_of_birth,Officialstatename,InternetccTLD,iso2,iso3
10,1911,"Theodore William Richards , Giacomo Ciamician , Alfred Werner , Richard Willstätter , Karl Engler , James Dewar , Heike Kamerlingh Onnes , Marie Curie , Paul Ehrlich , Sahachiro Hata , William Henry Perkin Jr. , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann","Marie Curie, née Skłodowska",1867,1934,,"""[for] the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",POLAND,The Republic of Poland,.pl,PL,POL
11,1912,"Theodore William Richards , Giacomo Ciamician , Victor Grignard , Alfred Werner , Kristian Birkeland , Albin Haller , Richard Willstätter , Otto Schönherr , William Henry Perkin Jr. , Fritz Haber , Hilaire de Chardonnet , Philippe Barbier , Georges Urbain",Victor Grignard,1871,1935,Nancy-Université,"""for the discovery of the [...] Grignard reagent""",FRANCE,The French Republic,.fr,FR,FRA
12,1912,"Theodore William Richards , Giacomo Ciamician , Victor Grignard , Alfred Werner , Kristian Birkeland , Albin Haller , Richard Willstätter , Otto Schönherr , William Henry Perkin Jr. , Fritz Haber , Hilaire de Chardonnet , Philippe Barbier , Georges Urbain",Paul Sabatier,1854,1941,University of Toulouse,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals""",FRANCE,The French Republic,.fr,FR,FRA
13,1913,"Theodore William Richards , Alfred Werner , Samuel Eyde , Kristian Birkeland , Theodor Curtius , Richard Willstätter , William Henry Perkin Jr. , Angelo Angeli , Fritz Haber , Georges Urbain , Richard Adolf Zsigmondy , Karol Olszewski , Theodor Zincke , William Küster , Leon Marchlewski , Carl Harries , Albert Recoura",Alfred Werner,1866,1919,University of Zurich,"""[for] his work on the linkage of atoms in molecules [...] especially in inorganic chemistry""",SWITZERLAND,The Swiss Confederation,.ch,CH,CHE
14,1914,"Theodore William Richards , Giacomo Ciamician , Henry Louis Le Chatelier , Theodor Curtius , Richard Willstätter , William Henry Perkin Jr. , Carl Harries , Ernst Schmidt , Alexander Tschirch",Theodore William Richards,1868,1928,Harvard University,"""[for] his accurate determinations of the atomic weight of a large number of chemical elements""",United States,,,,
15,1915,"Theodore William Richards , Henry Louis Le Chatelier , Richard Willstätter , Gustav Heinrich Johann Apollon Tammann , Fritz Haber , Georges Urbain , Richard Adolf Zsigmondy , Carl Harries , Albert Recoura , William Henry Bragg , Henry Moseley , Charles Galton Darwin , Édouard Branly , Eugen Herzfeld , Emanuele Paternò , Emil Abderhalden , Jean Baptiste Perrin",Richard Martin Willstätter,1872,1942,,"""for his researches on plant pigments, especially chlorophyll""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
16,1916,"Emil Fischer , Armand Gautier , Giacomo Ciamician , Adolph Frank , Theodor Curtius , Albin Haller , Karl Engler , Fritz Haber , Georges Urbain , Theodor Svedberg , Carl Bosch , Émile Bourquelot , Frank Wigglesworth Clarke , Felix Ehrlich , Josef Maria Eder",Not awarded,,Alive,,Not awarded,Not awarded,,,,
17,1917,"Theodor Curtius , Angelo Angeli , Georges Urbain , Carl Harries , Alexander Tschirch , Fritz Pregl , Knut Jacob Beskow , Arthur Ramén , Philippe-Auguste Guye , Amé Pictet",Not awarded,,Alive,,Not awarded,Not awarded,,,,
18,1918,"Frederick Soddy , William Henry Perkin Jr. , Fritz Haber , Emil Abderhalden , Theodor Svedberg , Philippe-Auguste Guye , Hartog Jacob Hamburger , Mikhail Tsvet , Wilhelm Schlenk",Fritz Haber,1868,1934,Fritz Haber Institute of the Max Planck Society,"""for the synthesis of ammonia from its elements""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
19,1919,"Emil Fischer , Giacomo Ciamician , Theodor Curtius , Albin Haller , Frederick Soddy , William Henry Perkin Jr. , Fritz Haber , Jean Baptiste Perrin , Theodor Svedberg , Philippe-Auguste Guye , Martinus Beijerinck , Edward Curtis Franklin",Not awarded,,Alive,,Not awarded,Not awarded,,,,
20,1920,"Henry Louis Le Chatelier , Albin Haller , William Henry Perkin Jr. , Philippe Barbier , Georges Urbain , Jean Baptiste Perrin , Theodor Svedberg , Carl Bosch , Philippe-Auguste Guye , Amé Pictet , Wilhelm Schlenk , Martinus Beijerinck , Niels Bohr , Otto Philipp Fischer , Arthur Amos Noyes , Domingo Emilio Noelting , Ossian Aschan",Walther Hermann Nernst,1864,1941,Humboldt University of Berlin,"""[for] his work in thermochemistry""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
21,1921,"Giacomo Ciamician , Henry Louis Le Chatelier , Theodor Curtius , Albin Haller , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Richard Adolf Zsigmondy , Albert Recoura , Josef Maria Eder , Philippe-Auguste Guye , Edward Curtis Franklin , Charles Moureu , Søren Peter Lauritz Sørensen , Herbert Freundlich , Moses Gomberg , Sergei Winogradsky",Frederick Soddy,1877,1956,University of Oxford,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",United Kingdom,,,,
22,1922,"Henry Louis Le Chatelier , Theodor Curtius , Albin Haller , Frederick Soddy , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann , Philippe Barbier , Georges Urbain , Richard Adolf Zsigmondy , Albert Recoura , Jean Baptiste Perrin , Fritz Pregl , Philippe-Auguste Guye , Ossian Aschan , Søren Peter Lauritz Sørensen , Moses Gomberg , Francis William Aston , Arnold Frederick Holleman , Carl Auer von Welsbach , Nikodem Caro , Gilbert Newton Lewis",Francis William Aston,1877,1945,University of Cambridge,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",United Kingdom,,,,
23,1923,"Theodor Curtius , Albin Haller , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Richard Adolf Zsigmondy , Jean Baptiste Perrin , Theodor Svedberg , Fritz Pregl , Ossian Aschan , Søren Peter Lauritz Sørensen , Carl Auer von Welsbach , Carl Auer von Welsbach , Henry Siedentopf , Frederick Belding Power[128]",Fritz Pregl,1869,1930,University of Graz,"""for his invention of the method of micro-analysis of organic substances""",AUSTRIA,The Republic of Austria,.at,AT,AUT
24,1924,"Theodor Curtius , Albin Haller , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Richard Adolf Zsigmondy , Albert Recoura , Jean Baptiste Perrin , Theodor Svedberg , Amé Pictet , Wilhelm Schlenk , Ossian Aschan , Søren Peter Lauritz Sørensen , Moses Gomberg , Gilbert Newton Lewis , Henry Siedentopf , Heinrich Otto Wieland , Hans von Euler-Chelpin , George de Hevesy , Friedrich Emich , Dirk Coster",Not awarded,,Alive,,Not awarded,Not awarded,,,,
25,1925,"Albin Haller , William Henry Perkin Jr. , Georges Urbain , Jean Baptiste Perrin , Wilhelm Schlenk , Ossian Aschan , Carl Auer von Welsbach , Gilbert Newton Lewis , Frederick Belding Power[128] , Heinrich Otto Wieland , Hans von Euler-Chelpin , Friedrich Emich , André-Louis Debierne",Richard Adolf Zsigmondy,1865,1929,University of Göttingen,"""for his demonstration of the heterogeneous nature of colloid solutions and for the methods he used""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
26,1926,"Henry Louis Le Chatelier , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Richard Adolf Zsigmondy , Jean Baptiste Perrin , Theodor Svedberg , Carl Bosch , Amé Pictet , Gilbert Newton Lewis , Heinrich Otto Wieland , Hans von Euler-Chelpin , Adolf Windaus , Fritz Foerster , Piero Ginori Conti , Giuseppe Oddo , Casimir Funk , Paul Pascal",The (Theodor) Svedberg,1884,1971,,"""for his work on disperse systems""",SWEDEN,The Kingdom of Sweden,.se,SE,SWE
27,1927,"William Jackson Pope , Henry Louis Le Chatelier , Arthur Rudolf Hantzsch , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Moses Gomberg , Heinrich Otto Wieland , Hans von Euler-Chelpin , George de Hevesy , Dirk Coster , Adolf Windaus , Paul Pascal , Irving Langmuir , Peter Debye , Frederick Gowland Hopkins , Herbert Baker , Ernst Cohen , Olof Hammarsten , Julius Bredt , Kurt Gustav Peters , Friedrich Paneth , Niels Bjerrum",Heinrich Otto Wieland,1877,1957,Ludwig Maximilian University of Munich,"""for his investigations of the constitution of the bile acids and related substances""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
28,1928,"Henry Louis Le Chatelier , Victor Grignard , Jean-Baptiste Senderens , Gabriel Bertrand , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Alexander Tschirch , Herbert Freundlich , Moses Gomberg , Heinrich Otto Wieland , Hans von Euler-Chelpin , Adolf Windaus , Irving Langmuir , Peter Debye , Robert Robinson , Samuel Colville Lind , Kazimierz Fajans , Bruno Tacke , Hans Fischer",Adolf Otto Reinhold Windaus,1876,1959,University of Göttingen,"""[for] his research into the constitution of the sterols and their connection with the vitamins""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
29,1929,"Henry Louis Le Chatelier , Jean-Baptiste Senderens , Gabriel Bertrand , William Henry Perkin Jr. , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Carl Bosch , Amé Pictet , Wilhelm Schlenk , Niels Bohr , Charles Moureu , Moses Gomberg , Carl Auer von Welsbach , Gilbert Newton Lewis , Hans von Euler-Chelpin , George de Hevesy , Dirk Coster , Irving Langmuir , Peter Debye , Hans Fischer , Alfred Fabian Hess , Arthur Harden , Friedrich Bergius , Walter Norman Haworth , Otto Heinrich Warburg , George Barger , Charles Harington , Kurt Bennewitz , Johannes van Laar , Alfred Stock , Carl Neuberg , Frédéric Swarts , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Johannes Nicolaus Brønsted , Charles Dufraisse",Arthur Harden,1865,1940,University College London,"""for their investigations on the fermentation of sugar and fermentative enzymes""",United Kingdom,,,,
30,1929,"Henry Louis Le Chatelier , Jean-Baptiste Senderens , Gabriel Bertrand , William Henry Perkin Jr. , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Carl Bosch , Amé Pictet , Wilhelm Schlenk , Niels Bohr , Charles Moureu , Moses Gomberg , Carl Auer von Welsbach , Gilbert Newton Lewis , Hans von Euler-Chelpin , George de Hevesy , Dirk Coster , Irving Langmuir , Peter Debye , Hans Fischer , Alfred Fabian Hess , Arthur Harden , Friedrich Bergius , Walter Norman Haworth , Otto Heinrich Warburg , George Barger , Charles Harington , Kurt Bennewitz , Johannes van Laar , Alfred Stock , Carl Neuberg , Frédéric Swarts , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Johannes Nicolaus Brønsted , Charles Dufraisse",Hans Karl August Simon von Euler-Chelpin,1873,1964,Stockholm University,"""for their investigations on the fermentation of sugar and fermentative enzymes""",SWEDEN,The Kingdom of Sweden,.se,SE,SWE
31,1930,"Henry Louis Le Chatelier , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Carl Bosch , Amé Pictet , Gilbert Newton Lewis , Hans Fischer , Walter Norman Haworth , Carl Neuberg , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Percy Williams Bridgman , Carl F. Schmidt , Arnold Eucken , Karl-Friedrich Bonhoeffer",Hans Fischer,1881,1945,Technical University of Munich,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
32,1931,"Henry Louis Le Chatelier , Gabriel Bertrand , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Carl Bosch , Amé Pictet , Ossian Aschan , Gilbert Newton Lewis , Irving Langmuir , Peter Debye , Niels Bjerrum , Friedrich Bergius , Walter Norman Haworth , Otto Heinrich Warburg , Carl Neuberg , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Leopold Ružička , Hermann Staudinger , Werner Schulemann , Karl von Auwers , Frederick George Donnan , Peter Klason , James Irvine , Werner Kuhn",Carl Bosch,1874,1940,"Heidelberg University,IG Farben","""[for] their contributions to the invention and development of chemical high pressure methods""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
33,1931,"Henry Louis Le Chatelier , Gabriel Bertrand , Angelo Angeli , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Carl Bosch , Amé Pictet , Ossian Aschan , Gilbert Newton Lewis , Irving Langmuir , Peter Debye , Niels Bjerrum , Friedrich Bergius , Walter Norman Haworth , Otto Heinrich Warburg , Carl Neuberg , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Leopold Ružička , Hermann Staudinger , Werner Schulemann , Karl von Auwers , Frederick George Donnan , Peter Klason , James Irvine , Werner Kuhn",Friedrich Bergius,1884,1949,"Heidelberg University,IG Farben","""[for] their contributions to the invention and development of chemical high pressure methods""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
34,1932,"Gabriel Bertrand , Georges Urbain , Amé Pictet , Søren Peter Lauritz Sørensen , Nikodem Caro , Gilbert Newton Lewis , Irving Langmuir , Peter Debye , Friedrich Paneth , Carl Neuberg , Frédéric Swarts , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Hermann Staudinger , Peter Klason , Paul Karrer , Richard Kuhn , Otto Diels , Gustav Embden , Walter Noddack",Irving Langmuir,1881,1957,General Electric,"""for his discoveries and investigations in surface chemistry""",United States,,,,
35,1933,"Gabriel Bertrand , Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Amé Pictet , Søren Peter Lauritz Sørensen , Nikodem Caro , Gilbert Newton Lewis , Heinrich Otto Wieland , George de Hevesy , Dirk Coster , Peter Debye , Robert Robinson , Carl Neuberg , Frédéric Swarts , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Johannes Nicolaus Brønsted , Frederick George Donnan , Paul Karrer , Otto Diels , Walter Noddack , Ida Tacke Noddack , Artturi Ilmari Virtanen , Ernst Späth , Emil Votoček",Not awarded,,Alive,,Not awarded,Not awarded,,,,
36,1934,"Henry Louis Le Chatelier , Walther Nernst , Gabriel Bertrand , Georges Urbain , Otto Hahn , Søren Peter Lauritz Sørensen , Gilbert Newton Lewis , Heinrich Otto Wieland , George de Hevesy , Lise Meitner , Peter Debye , Kazimierz Fajans , Walter Norman Haworth , Carl Neuberg , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Arnold Eucken , Karl-Friedrich Bonhoeffer , Hermann Staudinger , Peter Klason , Paul Karrer , Otto Diels , Walter Noddack , Artturi Ilmari Virtanen , Adolf Butenandt , Jaroslav Heyrovský , Harold Clayton Urey , Edward Wight Washburn , Fritz Kögl , Erik Karl Mauritz Hägglund , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Harold Clayton Urey,1893,1981,Columbia University,"""for his discovery of heavy hydrogen""",United States,,,,
37,1935,"Gabriel Bertrand , Gustav Heinrich Johann Apollon Tammann , Søren Peter Lauritz Sørensen , Gilbert Newton Lewis , George de Hevesy , Peter Debye , Friedrich Paneth , Robert Robinson , Walter Norman Haworth , Carl Neuberg , Frédéric Swarts , Max Bodenstein , Otto Ruff , Leopold Ružička , Hermann Staudinger , Peter Klason , James Irvine , Paul Karrer , Richard Kuhn , Otto Diels , Walter Noddack , Ida Tacke Noddack , Artturi Ilmari Virtanen , Adolf Butenandt , Fritz Kögl , Frédéric Joliot , Irène Joliot-Curie , Enrico Fermi , George Oliver Curme Jr. , Phoebus Levene , Colin Garfield Fink[220] , Max Bergmann",Frédéric Joliot,1900,1958,,"""[for] their synthesis of new radioactive elements""",FRANCE,The French Republic,.fr,FR,FRA
38,1935,"Gabriel Bertrand , Gustav Heinrich Johann Apollon Tammann , Søren Peter Lauritz Sørensen , Gilbert Newton Lewis , George de Hevesy , Peter Debye , Friedrich Paneth , Robert Robinson , Walter Norman Haworth , Carl Neuberg , Frédéric Swarts , Max Bodenstein , Otto Ruff , Leopold Ružička , Hermann Staudinger , Peter Klason , James Irvine , Paul Karrer , Richard Kuhn , Otto Diels , Walter Noddack , Ida Tacke Noddack , Artturi Ilmari Virtanen , Adolf Butenandt , Fritz Kögl , Frédéric Joliot , Irène Joliot-Curie , Enrico Fermi , George Oliver Curme Jr. , Phoebus Levene , Colin Garfield Fink[220] , Max Bergmann",Irène Joliot-Curie,1897,1956,Institut du Radium,"""[for] their synthesis of new radioactive elements""",FRANCE,The French Republic,.fr,FR,FRA
39,1936,"Gustav Heinrich Johann Apollon Tammann , Georges Urbain , Ossian Aschan , Herbert Freundlich , George de Hevesy , Peter Debye , Robert Robinson , Bruno Tacke , Walter Norman Haworth , Max Bodenstein , Otto Ruff , Victor Goldschmidt , Leopold Ružička , James Irvine , Paul Karrer , Richard Kuhn , Otto Diels , Artturi Ilmari Virtanen , Adolf Butenandt , Fritz Kögl , Enrico Fermi , William Giauque , Kurt Alder , William Arthur Bone , Jacob Heslinga , Henri ter Meulen , Otto Hönigschmid , Jens Möller , Umetaro Suzuki , Wojciech Świętosławski",Peter Debye,1884,1966,"Humboldt University of Berlin,Max Planck Institute for Physics","""[for his work on] molecular structure through his investigations on dipole moments and the diffraction of X-rays and electrons in gases""",Netherlands,,,,
40,1937,"Gustav Heinrich Johann Apollon Tammann , Walter Norman Haworth , Max Bodenstein , Otto Ruff , Karl-Friedrich Bonhoeffer , Leopold Ružička , Paul Karrer , Richard Kuhn , Otto Diels , Walter Noddack , Ida Tacke Noddack , Artturi Ilmari Virtanen , Fritz Kögl , Enrico Fermi , William Giauque , Hugo Theorell , Marc Tiffeneau , Arthur Heinrich Binz , Curt Räth[238] , Franz Joseph Emil Fischer , Fritz Hofmann , Gustaf Komppa , Paul Harteck , Fritz London",Walter Norman Haworth,1883,1950,,"""for his investigations on carbohydrates and vitamin C""",United Kingdom,,,,
41,1937,"Gustav Heinrich Johann Apollon Tammann , Walter Norman Haworth , Max Bodenstein , Otto Ruff , Karl-Friedrich Bonhoeffer , Leopold Ružička , Paul Karrer , Richard Kuhn , Otto Diels , Walter Noddack , Ida Tacke Noddack , Artturi Ilmari Virtanen , Fritz Kögl , Enrico Fermi , William Giauque , Hugo Theorell , Marc Tiffeneau , Arthur Heinrich Binz , Curt Räth[238] , Franz Joseph Emil Fischer , Fritz Hofmann , Gustaf Komppa , Paul Harteck , Fritz London",Paul Karrer,1889,1971,University of Zurich,"""for his investigations on carotenoids, flavins and vitamins A and B2""",SWITZERLAND,The Swiss Confederation,.ch,CH,CHE
42,1938,"Walther Nernst , Otto Hahn , Moses Gomberg , Lise Meitner , Robert Robinson , Leopold Ružička , Artturi Ilmari Virtanen , Adolf Butenandt , Jaroslav Heyrovský , Hugo Theorell , Wendell Meredith Stanley , Jacob Böeseken , William Draper Harkins , Victor Henri , Vladimir Ipatieff , Arthur Stoll , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Richard Kuhn,1900,1967,"Heidelberg University,Max Planck Institute for Medical Research","""for his work on carotenoids and vitamins""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
43,1939,"George de Hevesy , Friedrich Paneth , Robert Robinson , Leopold Ružička , Hermann Staudinger , Richard Kuhn , Artturi Ilmari Virtanen , Adolf Butenandt , Wendell Meredith Stanley , Frederick Charles Bawden , Norman Pirie , Georg Bredig , Paul Job[255] , Maurice Piettre[257] , Francesco Giordani , Dorothy Maud Wrinch , Conrad Elvehjem , Ernest Fourneau , Robley Cook Williams",Adolf Friedrich Johann Butenandt,1903,1995,"Max Planck Institute of Biochemistry,Humboldt University of Berlin","""for his work on sex hormones""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
44,1939,"George de Hevesy , Friedrich Paneth , Robert Robinson , Leopold Ružička , Hermann Staudinger , Richard Kuhn , Artturi Ilmari Virtanen , Adolf Butenandt , Wendell Meredith Stanley , Frederick Charles Bawden , Norman Pirie , Georg Bredig , Paul Job[255] , Maurice Piettre[257] , Francesco Giordani , Dorothy Maud Wrinch , Conrad Elvehjem , Ernest Fourneau , Robley Cook Williams",Leopold Ružička,1887,1976,ETH Zurich,"""for his work on polymethylenes and higher terpenes""",Kingdom of Yugoslavia,,,,
45,1940,"Walther Nernst , Otto Hahn , Moses Gomberg , Gilbert Newton Lewis , George de Hevesy , Lise Meitner , Robert Robinson , Victor Goldschmidt , Jaroslav Heyrovský , Fritz Kögl , Arthur Stoll , Ernest Fourneau , Robley Cook Williams , Linus Pauling , Fritz Weigert , Jacques Tréfouël , Christopher Kelk Ingold , John Howard Northrop , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Not awarded,,Alive,,Not awarded,Not awarded,,,,
46,1941,"Gilbert Newton Lewis , George de Hevesy , Robert Robinson , Hermann Staudinger , Artturi Ilmari Virtanen , Fritz Kögl , Wendell Meredith Stanley , Vladimir Ipatieff , Linus Pauling , John Howard Northrop , James Batcheller Sumner , Moses Kunitz , Rudolph Schoenheimer , Paul Niggli , Donald Van Slyke , Albert Marcel Germain René Portevin",Not awarded,,Alive,,Not awarded,Not awarded,,,,
47,1942,"Gabriel Bertrand , Gilbert Newton Lewis , George de Hevesy , Robert Robinson , Otto Diels , Artturi Ilmari Virtanen , William Giauque , Kurt Alder , Gustaf Komppa , Fritz London , Wendell Meredith Stanley , Vladimir Ipatieff , Arthur Stoll , John Howard Northrop , René Bernard Wurmser , Ernest Kennaway , James Wilfred Cook , Walter Heitler",Not awarded,,Alive,,Not awarded,Not awarded,,,,
48,1943,"Gilbert Newton Lewis , George de Hevesy , Robert Robinson , Otto Diels , Artturi Ilmari Virtanen , Fritz Kögl , Kurt Alder , Gustaf Komppa , Wendell Meredith Stanley , Linus Pauling , John Howard Northrop , Tadeusz Reichstein",George de Hevesy,1885,1966,Stockholm University,"""for his work on the use of isotopes as tracers in the study of chemical processes""",HUNGARY,Hungary,.hu,HU,HUN
49,1944,"Walther Nernst , Gabriel Bertrand , Otto Hahn , Gilbert Newton Lewis , George de Hevesy , Lise Meitner , Robert Robinson , Otto Diels , Jaroslav Heyrovský , Fritz Kögl , Kurt Alder , Gustaf Komppa , Wendell Meredith Stanley , Conrad Elvehjem , Linus Pauling , Jacques Tréfouël , John Howard Northrop , James Batcheller Sumner , Ernest Kennaway , James Wilfred Cook , Tadeusz Reichstein , Vincent du Vigneaud , Harry Steenbock , Edward Charles Dodds , Klaus Clusius , Karl Paul Link , Henry Eyring , Willard Libby , Efraim Racker , Henry Montague (Monty) Frey",Otto Hahn,1879,1968,Max Planck Institute for Chemistry,"""for his discovery of the fission of heavy nuclei""",GERMANY,The Federal Republic of Germany,.de,DE,DEU
50,1945,"Robert Robinson , Artturi Ilmari Virtanen , Fritz Kögl , Gustaf Komppa , Wendell Meredith Stanley , Robley Cook Williams , John Howard Northrop , James Batcheller Sumner , Donald Van Slyke , Albert Marcel Germain René Portevin , Tadeusz Reichstein , Vincent du Vigneaud , Arne Fredrik Westgren",Artturi Ilmari Virtanen,1895,1973,University of Helsinki,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",FINLAND,The Republic of Finland,.fi,FI,FIN
51,1946,"Gabriel Bertrand , Gilbert Newton Lewis , Casimir Funk , Robert Robinson , Hermann Staudinger , Wendell Meredith Stanley , Linus Pauling , Jacques Tréfouël , John Howard Northrop , James Batcheller Sumner , Klaus Clusius , Hans Adolf Krebs , Robert Burns Woodward , Hugh Stott Taylor , William von Eggers Doering , Alexander Frumkin , Nikolay Semyonov",James Batcheller Sumner,1887,1955,Cornell University,"""for his discovery that enzymes can be crystallized""",United States,,,,
